Police Department Disposition,2014,2015,2016,2017,2018
Guilty After Trial,4,1,0,5,2
Pled Guilty to charges and specifications,5,0,1,0,0
Pled Guilty to charges and specifications as CD,0,0,0,0,0
Command Discipline,30,105,122,108,81
Instructions,64,139,256,170,197
Subtotal: Disciplinary Action,103,245,379,283,280
Not guilty after trial,0,1,2,3,1
Charges dismissed,0,0,0,2,1
Statute of limitations expired,10,1,5,0,4
Department declined to prosecute (DUP),26,19,28,91,59
Subtotal: No Disciplinary Action,36,21,35,96,65
Total Closed Cases,139,266,414,379,345
Filed (officer no longer a member of NYPD),0,4,4,11,5
Total Processed Cases,140,270,418,390,349
Disciplinary Action Rate,74%,92%,92%,75%,81%
Gulity After Trial Rate,100%,50%,0%,63%,67%
Conviction Rate,100%,50%,33%,50%,50%
Department Declined to Prosecute,19%,7%,7%,24%,17%
